Name,Longitude location of institution,Latitude location of institution,SAT Critical Reading 75th percentile score,SAT Math 75th percentile score,SAT Writing 75th percentile score,ACT Composite 75th percentile score,Percent admitted - total,"Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,Control of institution,Undergraduate enrollment,"Graduation rate - Bachelor degree within 4 years, total",Enrolled total,Applicants total
University of Pittsburgh-Bradford,-78.673039,41.944173,530,550,520,23,85,13078,25642,36246,Public,1481,33,379,940
University of Pittsburgh-Greensburg,-79.535757,40.292824,540,560,530,24,93,13128,26714,37318,Public,1677,33,394,1262
University of Pittsburgh-Johnstown,-78.832611,40.268583,550,570,540,24,90,13130,26262,36866,Public,2840,32,772,1570
University of Pittsburgh-Pittsburgh Campus,-79.954692,40.444502,660,680,660,30,56,17100,32126,42132,Public,18615,64,3678,24871
Point Park University,-80.001462,40.438526,560,540,550,25,74,26170,39800,39800,Private not-for-profit,3226,42,548,3237
Robert Morris University,-80.211785,40.521088,550,590,550,24,81,25114,40755,40755,Private not-for-profit,4496,41,998,5689
Rosemont College,-75.329898,40.034771,530,510,,23,58,30950,46305,46305,Private not-for-profit,531,46,112,1014
Saint Francis University,-78.638469,40.502782,510,590,560,25,76,29992,45038,45038,Private not-for-profit,1694,57,403,1679
Saint Joseph's University,-75.238343,39.994442,590,610,600,26,79,39040,54772,54772,Private not-for-profit,5374,70,1275,7831
Saint Vincent College,-79.403702,40.29252,570,580,570,25,69,30350,42838,42838,Private not-for-profit,1596,64,472,2035
University of Scranton,-75.658031,41.40715,600,610,,27,75,38754,55008,55008,Private not-for-profit,3942,75,881,9087
Seton Hill University,-79.556228,40.308623,570,580,570,26,65,30300,43900,43900,Private not-for-profit,1958,45,386,2414
Shippensburg University of Pennsylvania,-77.5229,40.057405,530,550,520,22,83,9448,24046,32514,Public,6550,37,1520,5949
Slippery Rock University of Pennsylvania,-80.051814,41.060814,540,550,530,23,67,9027,22132,25634,Public,7595,40,1409,5475
Susquehanna University,-76.87521,40.79774,620,610,610,27,72,38780,51400,51400,Private not-for-profit,2187,71,589,3217
Swarthmore College,-75.356066,39.904081,760,770,770,34,14,44718,60671,60671,Private not-for-profit,1534,89,388,6615
Temple University,-75.158267,39.980943,610,620,610,27,64,14096,29632,39658,Public,28068,39,4390,18813
Thiel College,-80.382134,41.41308,520,540,,23,66,26802,41078,41078,Private not-for-profit,1100,27,303,2519
Ursinus College,-75.455654,40.19405,640,640,640,30,66,44530,58880,58880,Private not-for-profit,1596,75,425,3947
Valley Forge Christian College,-75.54864,40.118341,510,530,,25,66,19394,31026,31026,Private not-for-profit,964,31,148,451
Villanova University,-75.345457,40.039388,690,710,690,31,49,44430,58736,58736,Private not-for-profit,7042,86,1659,14966
Washington & Jefferson College,-80.240388,40.171898,,,,,40,39710,51690,51690,Private not-for-profit,1328,73,326,7176
Waynesburg University,-80.18727,39.899419,560,550,,25,75,20540,31500,31500,Private not-for-profit,1598,45,410,1962
West Chester University of Pennsylvania,-75.594631,39.949084,590,600,590,,52,8850,25690,35814,Public,13711,44,2298,13424
Westminster College,-80.331376,41.118456,580,570,560,25,73,32445,43805,43805,Private not-for-profit,1313,63,309,3378
Widener University-Main Campus,-75.356718,39.86158,550,580,,,67,38028,54019,54019,Private not-for-profit,3424,40,828,5461
Wilkes University,-75.88833,41.243204,570,600,560,,76,30350,46786,46786,Private not-for-profit,2388,47,596,2998
Wilson College,-77.658075,39.947461,570,550,560,24,53,29370,41963,41963,Private not-for-profit,571,44,76,450
York College Pennsylvania,-76.727266,39.946709,560,578,550,25,74,17010,29790,29790,Private not-for-profit,5010,37,1064,9934
Brown University,-71.404467,41.827605,760,780,770,34,9,45612,60460,60460,Private not-for-profit,6455,84,1543,28919
Bryant University,-71.539147,41.920149,590,630,590,27,77,37234,53598,53598,Private not-for-profit,3287,78,890,6013
Johnson & Wales University-Providence,-71.413322,41.820558,,,,,76,27456,41461,41461,Private not-for-profit,9401,43,2093,12364
New England Institute of Technology,-71.502892,41.661783,,,,,,21285,,,Private not-for-profit,2860,,,
Providence College,-71.43792,41.844064,620,640,640,28,60,43245,57625,57625,Private not-for-profit,4135,83,1027,9660
Rhode Island College,-71.466915,41.84266,520,520,520,22,69,7602,20053,30751,Public,7505,15,1071,4492
University of Rhode Island,-71.527356,41.484691,580,590,580,26,79,12450,26882,42448,Public,13354,41,2993,19824
Roger Williams University,-71.261836,41.647314,,,,,81,31668,49394,49394,Private not-for-profit,4411,50,1104,9021
Salve Regina University,-71.301125,41.471445,590,600,600,26,67,34950,49950,49950,Private not-for-profit,2026,61,465,5070
Allen University,-81.020045,34.010348,,,,,,11940,20300,20300,Private not-for-profit,651,11,,
Anderson University,-82.640205,34.515506,600,580,580,26,65,22790,37014,37014,Private not-for-profit,2652,36,502,2190
Charleston Southern University,-80.069288,32.981986,540,540,,23,69,22090,35740,35740,Private not-for-profit,2912,23,656,3640
Benedict College,-81.021412,34.011285,,,,,,18254,30458,30458,Private not-for-profit,2512,14,,
Southern Wesleyan University,-82.761586,34.728068,540,510,510,22,94,22200,33750,33750,Private not-for-profit,1333,29,158,698
College of Charleston,-79.937251,32.783142,630,630,,28,70,10626,26656,43120,Public,10488,52,2138,11509
Citadel Military College of South Carolina,-79.961399,32.796975,590,600,560,25,80,10838,25442,44243,Public,2735,62,676,2557
Claflin University,-80.854368,33.497367,490,510,,21,53,15010,32300,32300,Private not-for-profit,1834,29,435,4354
Clemson University,-82.834463,34.677329,660,680,610,31,58,13054,28502,45936,Public,16931,59,3463,18500
Coker College,-80.067713,34.37709,520,530,,22,53,24579,34689,34689,Private not-for-profit,1144,39,247,1273
Columbia International University,-81.069502,34.081233,620,580,590,25,63,18930,32130,32130,Private not-for-profit,584,52,103,302
Columbia College,-81.001369,34.062923,570,560,,24,65,26800,39316,39316,Private not-for-profit,1010,32,128,457
Converse College,-81.918829,34.956232,590,570,,26,52,29124,42094,42094,Private not-for-profit,746,55,237,1565
Erskine College,-82.390797,34.330674,550,560,,24,70,31580,47610,47610,Private not-for-profit,605,52,194,750
Francis Marion University,-79.655515,34.192277,530,530,500,22,57,9386,20923,29901,Public,3714,16,744,3951
Furman University,-82.441473,34.920785,670,670,,30,64,43164,57276,57276,Private not-for-profit,2797,80,759,5953
Lander University,-82.166351,34.201143,530,520,500,22,42,10100,22300,31336,Public,2792,32,569,3349
Limestone College,-81.648033,35.052919,530,560,,23,53,22080,36416,36416,Private not-for-profit,3241,19,451,2424
Morris College,-80.346346,33.938707,,,,,,11087,21481,21481,Private not-for-profit,824,14,,
Newberry College,-81.601966,34.286201,520,540,500,22,59,23800,40365,40365,Private not-for-profit,1039,27,238,887
North Greenville University,-82.37026,35.069758,670,670,660,29,58,14772,30000,30000,Private not-for-profit,2257,41,505,1782
Presbyterian College,-81.874408,34.465697,600,610,,28,66,33650,46378,46378,Private not-for-profit,1123,60,296,1650
University of South Carolina-Aiken,-81.767901,33.572917,540,540,520,23,51,9308,21701,30733,Public,3175,21,526,2620
University of South Carolina-Beaufort,-80.973595,32.303308,500,510,,22,73,8972,21396,31248,Public,1724,10,410,1387
University of South Carolina-Columbia,-81.026971,33.998973,640,650,,29,61,10816,24804,42516,Public,24180,54,4625,23429
Coastal Carolina University,-79.0126,33.794733,530,550,,23,74,9760,22656,35666,Public,8867,27,2206,10993
South Carolina State University,-80.851185,33.497439,416,436,,19,51,9776,26244,35378,Public,2937,14,569,4499
University of South Carolina-Upstate,-81.970583,34.996403,530,540,,23,64,10198,22804,32832,Public,5308,24,806,3066
Voorhees College,-81.130104,33.307455,,,,,51,10780,19876,19876,Private not-for-profit,536,20,146,2726
Winthrop University,-81.028667,34.938506,570,570,,25,72,13670,25450,38020,Public,5048,35,1096,4285
Wofford College,-81.934572,34.957914,620,640,620,29,69,35515,49449,49449,Private not-for-profit,1615,78,415,2718
Augustana College,-96.738507,43.525939,,,,27,68,28630,38200,38200,Private not-for-profit,1697,48,367,1147
Black Hills State University,-103.870009,44.495536,635,594,510,23,89,7617,17862,19862,Public,4002,11,619,957
Dakota State University,-97.109609,44.0127,620,550,,24,83,7506,18048,20048,Public,2876,20,318,781
Dakota Wesleyan University,-98.030566,43.695995,580,590,,27,70,22700,33060,33060,Private not-for-profit,810,31,168,665
Mount Marty College,-97.409904,42.874475,,,,25,72,22892,34802,34802,Private not-for-profit,1068,45,117,402
Northern State University,-98.4837,45.452555,,580,540,25,93,7563,18921,20920,Public,2826,24,410,1157
Presentation College,-98.49077,45.482833,470,470,450,22,66,17014,28914,28914,Private not-for-profit,791,33,131,401
South Dakota State University,-96.783415,44.31942,590,600,,25,92,7713,19446,21528,Public,10969,27,2306,4851
University of Sioux Falls,-96.738229,43.531574,460,510,480,26,97,24550,35780,35780,Private not-for-profit,1100,35,237,1385
University of South Dakota,-96.924664,42.784558,,620,580,26,88,8022,20183,22265,Public,7633,30,1342,3606
Aquinas College,-86.844214,36.132187,520,440,,27,52,20550,35933,35933,Private not-for-profit,505,44,36,119
Austin Peay State University,-87.354081,36.533319,540,560,,24,86,6876,21513,36009,Public,9550,15,1522,3332
Belmont University,-86.794715,36.133866,640,630,,29,80,27380,43030,43030,Private not-for-profit,5506,56,1248,5111
Bethel University,-88.516162,36.139271,510,505,,22,51,15714,30196,30196,Private not-for-profit,5124,11,637,2669
Bryan College-Dayton,-85.016596,35.495721,600,600,580,25,38,21150,31075,31075,Private not-for-profit,1573,54,187,1151
Carson-Newman University,-83.492183,36.122224,575,580,,26,67,23696,34100,34100,Private not-for-profit,1713,37,481,3916
Christian Brothers University,-89.983241,35.127437,,,,27,47,28210,38113,38113,Private not-for-profit,1168,31,254,1943
Cumberland University,-86.29966,36.204243,540,530,530,23,47,20200,34130,34130,Private not-for-profit,1269,20,212,795
Lipscomb University,-86.799304,36.10469,650,650,,28,53,26094,40448,40448,Private not-for-profit,2890,44,684,3467
East Tennessee State University,-82.366954,36.301643,550,550,,25,86,7249,23607,38919,Public,11820,17,1881,4721
Fisk University,-86.805671,36.16912,430,440,430,18,40,20449,35899,35899,Private not-for-profit,611,41,226,3334
Welch College,-86.826158,36.134633,,,,,,12842,26444,26444,Private not-for-profit,338,16,,
Freed-Hardeman University,-88.639418,35.440073,600,570,,27,92,20468,32908,32908,Private not-for-profit,1385,38,356,1042
King University,-82.156532,36.585899,560,560,,25,64,24960,37758,37758,Private not-for-profit,2191,45,210,933
Lane College,-88.806832,35.628197,510,530,680,16,49,9180,18900,18900,Private not-for-profit,1554,20,405,4589
Le Moyne-Owen College,-90.034101,35.118641,,,,17,23,10680,18540,18540,Private not-for-profit,1023,6,190,1242
Lee University,-84.870018,35.166166,600,580,,27,92,13750,26100,26100,Private not-for-profit,4550,35,812,1689
Lincoln Memorial University,-83.658818,36.581284,500,540,,27,70,19490,32620,32620,Private not-for-profit,1713,14,191,975
Martin Methodist College,-87.035085,35.200662,,,,,,22272,33472,33472,Private not-for-profit,1144,40,,
Maryville College,-83.963853,35.751969,550,550,,26,73,31132,44472,44472,Private not-for-profit,1168,47,349,2196
University of Memphis,-89.982038,35.115934,600,600,580,25,68,8312,23535,38247,Public,17223,13,2134,5990
Middle Tennessee State University,-86.362094,35.849139,580,570,,24,70,7546,20818,36274,Public,21162,16,3276,9845
Milligan College,-82.29499,36.30036,583,583,600,26,68,27916,38266,38266,Private not-for-profit,973,52,206,612
Rhodes College,-89.989187,35.154424,690,680,,31,58,39794,53422,53422,Private not-for-profit,2027,74,545,3555
Sewanee-The University of the South,-85.917772,35.20443,670,650,670,30,60,35756,47970,47970,Private not-for-profit,1620,76,488,3285
Southern Adventist University,-85.050878,35.049136,600,580,590,25,38,19790,30874,30874,Private not-for-profit,2825,19,490,2313
Tennessee Wesleyan College,-84.592647,35.444939,510,540,,24,71,21800,31400,31400,Private not-for-profit,1068,32,208,791
The University of Tennessee-Chattanooga,-85.299812,35.048247,590,590,,25,78,7554,20530,35736,Public,10297,15,2342,7628
The University of Tennessee-Knoxville,-83.929696,35.955093,640,650,,29,72,11194,27450,45940,Public,21182,37,4276,14396
The University of Tennessee-Martin,-88.864211,36.340338,,,,25,77,7507,18509,32453,Public,7025,21,1308,3640
Tennessee State University,-86.82937,36.16899,,,,,,6498,17693,30413,Public,6816,8,,
Tennessee Technological University,-85.503957,36.174659,600,650,,26,93,7063,22963,37963,Public,10052,22,2176,4973
Trevecca Nazarene University,-86.753566,36.142115,590,570,,26,77,22330,33322,33322,Private not-for-profit,1492,36,259,930
Tusculum College,-82.761716,36.172558,520,520,,23,72,22250,35702,35702,Private not-for-profit,1844,18,310,2825
Union University,-88.858524,35.676896,680,670,,29,74,26880,44220,44220,Private not-for-profit,2826,51,452,1932
Vanderbilt University,-86.804875,36.14443,780,790,770,34,13,42978,61112,61112,Private not-for-profit,6835,87,1613,31099
Abilene Christian University,-99.70954,32.46915,580,600,560,27,49,28350,41800,41800,Private not-for-profit,3727,37,1030,10188
Angelo State University,-100.466495,31.44145,520,540,,23,80,6559,18915,27411,Public,5473,14,1220,2599
Austin College,-96.598772,33.646307,660,670,630,27,59,33830,47625,47625,Private not-for-profit,1207,67,364,3141
Baylor University,-97.119359,31.545956,660,670,640,29,57,35972,53886,53886,Private not-for-profit,13292,57,3190,29249
Concordia University-Texas,-97.836247,30.420952,550,570,,25,47,25880,38420,38420,Private not-for-profit,1531,18,192,1680
Texas A & M University-Corpus Christi,-97.331933,27.718601,520,540,500,23,93,7172,20611,29107,Public,9152,24,2051,7091
Dallas Baptist University,-96.947006,32.710017,656,648,,27,42,22350,34176,34176,Private not-for-profit,3435,43,492,2631
University of Dallas,-96.921573,32.846202,680,650,660,30,90,33110,48710,48710,Private not-for-profit,1380,56,380,1224
East Texas Baptist University,-94.374337,32.554545,520,530,,22,74,22590,32160,32160,Private not-for-profit,1196,24,345,709
Texas A & M University-Texarkana,-94.10398,33.49561,540,560,530,23,37,5578,16078,24502,Public,1401,,187,830
Texas A & M University-Commerce,-95.906913,33.243814,540,550,,24,68,6583,14867,25487,Public,6969,24,943,4236
Hardin-Simmons University,-99.733815,32.476786,550,560,530,25,38,23460,33626,33626,Private not-for-profit,1772,34,415,2091
Houston Baptist University,-95.515978,29.694414,580,590,560,27,73,27930,39001,39001,Private not-for-profit,2171,24,1135,5872
University of Houston-Clear Lake,-95.098129,29.582523,,,,,,,,,Public,4853,,,
University of Houston-Downtown,-95.35953,29.763831,480,510,,21,95,5238,,,Public,13486,3,1130,3096
University of Houston-Victoria,-96.978193,28.816438,490,518,,21,51,6248,18118,28738,Public,2889,,310,3128
University of Houston,-95.344851,29.719988,610,640,,27,58,8401,22463,30959,Public,31706,16,3434,17407
Howard Payne University,-98.984956,31.716345,520,530,,22,54,23200,33853,33853,Private not-for-profit,1100,30,347,1585
Huston-Tillotson University,-97.721698,30.264672,450,450,,17,46,13494,27044,27044,Private not-for-profit,926,10,211,1778
University of the Incarnate Word,-98.467709,29.468052,520,540,,23,93,24790,39124,39124,Private not-for-profit,6491,19,1045,4072
Jarvis Christian College,-95.17773,32.588249,,,,,,11369,23532,23532,Private not-for-profit,609,5,,
Lamar University,-94.073389,30.044274,530,550,,23,77,7429,21769,30265,Public,9382,13,1451,4788
Texas A & M International University,-99.435225,27.573504,491,520,,20,48,5818,17366,25862,Public,6585,21,828,4784
LeTourneau University,-94.72726,32.467658,640,660,,30,41,25740,38775,38775,Private not-for-profit,2305,34,335,1810
Lubbock Christian University,-101.934816,33.576273,560,570,560,24,95,18740,30966,30966,Private not-for-profit,1531,30,255,783
University of Mary Hardin-Baylor,-97.463479,31.066798,560,580,530,27,85,25200,36180,36180,Private not-for-profit,3063,28,675,5540
McMurry University,-99.750277,32.429551,540,550,,24,59,24296,36421,36421,Private not-for-profit,1212,25,250,1396
Midwestern State University,-98.51774,33.877143,540,550,520,23,72,7665,17904,19854,Public,5193,17,847,3023
University of North Texas,-97.151211,33.210958,600,610,,26,60,8745,20232,28728,Public,31243,25,4617,18299
Our Lady of the Lake University,-98.54395,29.425611,490,500,,21,66,23938,37078,37078,Private not-for-profit,1555,19,341,3789
The University of Texas-Pan American,-98.172112,26.306629,510,540,500,21,62,5173,16245,24741,Public,17230,16,3102,9313
The University of Texas at Brownsville,-97.486644,25.893584,,,,,,5372,13842,23304,Public,11220,9,,
Paul Quinn College,-96.755864,32.677195,440,450,490,18,99,13525,26300,26300,Private not-for-profit,243,1,70,632
Prairie View A & M University,-95.992066,30.094591,460,480,450,20,42,6764,17592,26178,Public,6731,11,1464,10747
Rice University,-95.403625,29.716485,760,790,770,34,17,38941,54291,54291,Private not-for-profit,3965,79,978,15415
Saint Edward's University,-97.75763,30.229844,610,610,600,26,79,33720,47500,47500,Private not-for-profit,4089,51,791,3694
University of St Thomas,-95.394178,29.738113,590,620,588,28,77,28240,41486,41486,Private not-for-profit,1572,27,237,782
Sam Houston State University,-95.5519,30.7247,540,550,,23,65,7022,20024,28520,Public,16255,28,2413,9315
Schreiner University,-99.131076,30.03108,540,550,520,24,93,22484,35509,35509,Private not-for-profit,1065,35,299,894
St Mary's University,-98.564307,29.451793,570,580,545,24,58,25126,38192,38192,Private not-for-profit,2393,33,596,5147
Southern Methodist University,-96.784855,32.845254,690,700,680,31,51,43800,61355,61355,Private not-for-profit,6357,67,1431,12080
Southwestern Assemblies of God University,-96.85315,32.405477,,,,,35,17830,31802,31802,Private not-for-profit,1700,14,344,2057
Southwestern University,-97.664637,30.635194,640,640,,29,52,35240,48080,48080,Private not-for-profit,1535,65,491,3546
Stephen F Austin State University,-94.58546,31.58562,540,550,520,24,57,8412,22948,33568,Public,11006,23,2253,11383
Texas State University,-97.936392,29.889202,560,570,540,25,75,8060,19620,28824,Public,31005,30,5181,18939
Southwestern Adventist University,-97.328511,32.397136,550,540,,22,54,18640,29602,29602,Private not-for-profit,791,22,172,1326
Southwestern Christian College,-96.286747,32.735778,,,,,,7620,15085,15085,Private not-for-profit,172,,,
Sul Ross State University,-103.65007,30.363418,490,500,470,21,52,5436,18556,27052,Public,2003,14,310,1638
Tarleton State University,-98.22008,32.215665,530,550,500,23,57,5856,17964,26460,Public,11348,22,1617,6223
Texas A & M University-Kingsville,-97.882342,27.524852,490,520,,21,88,6940,20423,31043,Public,9430,18,1255,6488
Texas A & M University-Galveston,-94.818532,29.315257,,,,,,,,,Public,,,,
Texas A & M University-College Station,-96.340322,30.613226,630,660,610,29,69,8506,21051,37671,Public,44072,49,10241,31387
The University of Texas at Arlington,-97.115087,32.728437,580,620,560,26,60,8878,22234,30730,Public,25690,17,2713,10679
The University of Texas at Austin,-97.737279,30.284733,670,710,680,31,40,9798,26156,50200,Public,39979,51,7249,38161
The University of Texas at Dallas,-96.748371,32.989432,670,700,,31,59,10864,24784,39958,Public,13049,46,2233,8750
The University of Texas at El Paso,-106.50356,31.771697,500,530,,22,100,7255,21399,33319,Public,19696,12,3033,6240
The University of Texas at Tyler,-95.249096,32.314724,560,598,550,25,82,7222,21222,31842,Public,5591,27,704,2104
Texas Christian University,-97.361537,32.709568,620,650,640,29,47,36590,50720,50720,Private not-for-profit,8640,59,1936,18551
Texas College,-95.312259,32.374185,,,,,,10008,21008,21008,Private not-for-profit,971,4,,
Texas Lutheran University,-97.984601,29.573274,560,580,540,25,51,25890,37620,37620,Private not-for-profit,1329,31,346,1734
The University of Texas of the Permian Basin,-102.329634,31.889509,550,570,,23,84,5250,16749,25173,Public,4246,13,276,1007
The University of Texas at San Antonio,-98.621386,29.582418,570,590,540,25,73,7457,20598,29172,Public,24342,10,4493,15239
Texas Southern University,-95.361961,29.722468,450,470,440,19,45,7946,24566,35186,Public,6288,6,1110,9746
Texas Tech University,-101.876917,33.580309,590,620,560,27,66,7517,21601,30097,Public,27044,33,4785,19170
Texas Wesleyan University,-97.279631,32.733314,550,540,520,22,30,22040,35454,35454,Private not-for-profit,1724,15,273,3336
Texas Woman's University,-97.129088,33.227002,530,540,520,23,86,7339,18259,28885,Public,9515,22,1161,4431
Trinity University,-98.482577,29.46286,690,680,,31,64,34678,48630,48630,Private not-for-profit,2161,72,534,4505
Wayland Baptist University,-101.729564,34.186673,510,530,480,23,99,12550,23410,23410,Private not-for-profit,4515,21,348,581
West Texas A & M University,-101.9158,34.981996,540,540,,24,74,6500,19154,19874,Public,6906,25,1308,4632
Wiley College,-94.376821,32.537646,,,,,,11382,21598,21598,Private not-for-profit,1388,7,,
Brigham Young University-Provo,-111.649281,40.250851,680,680,,31,49,4850,17496,17496,Private not-for-profit,27765,31,4427,11423
Brigham Young University-Hawaii,-157.925358,21.641172,590,580,,26,36,4770,16564,16564,Private not-for-profit,2882,28,516,2664
Dixie State University,-113.565894,37.103875,,,,,,4291,19743,27759,Public,8350,8,,
Southern Utah University,-113.070146,37.674617,570,580,550,26,57,5924,19082,31060,Public,7017,22,1272,8318
Stevens-Henager College-Ogden,-112.011617,41.232847,,,,,,16100,,,Private not-for-profit,320,100,,
Stevens-Henager College of Business-Provo,-111.713264,40.269691,,,,,,16972,,,Private not-for-profit,351,34,,
Utah State University,-111.81391,41.740748,610,630,,27,97,6030,17720,29240,Public,24385,25,3824,9052
Utah Valley University,-111.717058,40.278512,,,,,,5086,,,Public,30370,7,,
University of Utah,-111.846044,40.762484,620,648,610,27,82,7457,21920,38199,Public,24492,24,3124,11354
Weber State University,-111.94484,41.19258,,,,,,4990,19242,27563,Public,24498,14,,
Westminster College,-111.855553,40.731495,610,610,,28,75,29500,42108,42108,Private not-for-profit,2295,43,449,2461
Bennington College,-73.237498,42.92004,,,,,65,45080,61920,61920,Private not-for-profit,619,58,140,1130
Burlington College,-73.228181,44.49117,,,,,83,22885,35500,35500,Private not-for-profit,220,0,45,199
Castleton State College,-73.181486,43.607982,520,540,500,23,92,10286,21828,35556,Public,2068,34,480,2251
Champlain College,-73.204354,44.47295,620,620,600,28,71,31350,46850,46850,Private not-for-profit,2898,50,594,5047
Goddard College,-72.437252,44.27912,,,,,100,14930,17018,17018,Private not-for-profit,209,29,2,4
Green Mountain College,-73.241107,43.517134,,,,,76,32192,45988,45988,Private not-for-profit,590,31,136,773
Johnson State College,-72.671154,44.641736,540,530,520,23,97,10286,21774,33438,Public,1486,17,225,864
Lyndon State College,-72.024563,44.53433,520,530,510,21,99,10286,21744,32400,Public,1415,18,365,1354
Marlboro College,-72.736552,42.839603,,,,,76,38110,51590,51590,Private not-for-profit,260,50,47,232
Middlebury College,-73.176068,44.009117,740,740,750,33,17,45314,59470,59470,Private not-for-profit,2495,87,598,8847
Norwich University,-72.660129,44.139402,570,590,,26,63,33371,49655,49655,Private not-for-profit,2456,51,599,3081
Saint Michael's College,-73.163136,44.494212,650,640,630,28,75,39015,50920,50920,Private not-for-profit,1998,69,512,4431
SIT Graduate Institute,-72.56738,42.891035,,,,,,,,,Private not-for-profit,0,,,
College of St Joseph,-73.007033,43.599777,500,485,545,18,68,21100,33700,33700,Private not-for-profit,176,13,33,183
Southern Vermont College,-73.21866,42.867031,490,490,478,20,99,22000,35500,35500,Private not-for-profit,480,28,93,336
Sterling College,-72.382372,44.65225,,,,,94,29894,41092,41092,Private not-for-profit,116,28,20,49
Vermont Technical College,-72.605179,43.939321,520,530,510,21,83,12494,24282,34794,Public,1543,29,194,568
University of Vermont,-73.198128,44.479262,640,650,650,29,78,15718,28886,49814,Public,10912,65,2495,22381
Averett University,-79.413214,36.577273,520,530,480,22,63,27500,39124,39124,Private not-for-profit,877,18,241,2356
Bluefield College,-81.244879,37.245681,500,510,,21,57,22390,35560,35560,Private not-for-profit,837,38,118,1042
Bridgewater College,-78.969011,38.378391,560,570,550,25,55,29090,43310,43310,Private not-for-profit,1848,52,536,5401
College of William and Mary,-76.709395,37.27195,740,720,720,32,33,15463,28329,51306,Public,6271,83,1479,14046
Regent University,-76.192844,36.800929,630,570,,25,85,15838,28368,28368,Private not-for-profit,2400,21,231,1238
Christopher Newport University,-76.486978,37.061502,630,620,,28,59,11092,25808,35708,Public,5094,50,1276,7016
Emory & Henry College,-81.831737,36.772543,560,560,540,25,66,28966,41866,41866,Private not-for-profit,936,33,267,1663
Eastern Mennonite University,-78.876077,38.478611,568,560,550,25,65,29350,41500,41500,Private not-for-profit,1184,50,232,1073
Ferrum College,-80.020864,36.926648,490,490,470,20,74,28585,40627,40627,Private not-for-profit,1512,20,569,3272
George Mason University,-77.30794,38.83088,620,630,,28,62,9908,25335,44019,Public,21990,43,3011,20805
Hampden-Sydney College,-78.461371,37.242482,600,615,575,27,55,37352,51577,51577,Private not-for-profit,1070,60,293,2623
Hampton University,-76.337647,37.022084,550,540,,23,36,20724,33854,33854,Private not-for-profit,3742,50,1004,15337
Hollins University,-79.942196,37.354629,640,580,,27,69,33320,48180,48180,Private not-for-profit,580,56,148,824
James Madison University,-78.871663,38.435332,620,630,,27,64,9176,22740,37218,Public,18431,65,4325,22648
Liberty University,-79.179688,37.350345,570,570,,26,22,20768,33544,33544,Private not-for-profit,47464,27,4690,48054
Longwood University,-78.395789,37.301073,550,540,,23,81,11340,23724,36594,Public,4497,42,1111,4055
Lynchburg College,-79.184153,37.397678,550,560,540,24,64,33565,44695,44695,Private not-for-profit,2178,46,512,5695
Mary Baldwin College,-79.068325,38.154799,550,510,540,25,88,28720,40420,40420,Private not-for-profit,1441,39,218,3089
University of Mary Washington,-77.474392,38.302206,620,590,600,26,81,9720,24076,36946,Public,4383,66,947,4496
Marymount University,-77.128799,38.905552,570,560,560,24,83,26430,41160,41160,Private not-for-profit,2396,44,400,2082
Norfolk State University,-76.26393,36.848262,480,480,460,20,65,7126,20536,34006,Public,6021,21,829,3373
Old Dominion University,-76.309653,36.884919,560,570,,23,77,8550,22267,37927,Public,19819,23,2943,10201
Radford University,-80.549731,37.136914,540,540,520,22,78,8976,20700,32865,Public,8913,41,1986,7774
Randolph-Macon College,-77.472253,37.749654,590,590,580,26,64,34850,47740,47740,Private not-for-profit,1315,57,382,2997
Randolph College,-79.17079,37.437429,610,590,590,28,83,32850,46060,46060,Private not-for-profit,665,46,216,1056
University of Richmond,-77.538702,37.577625,690,720,690,31,31,45320,57630,57630,Private not-for-profit,3215,82,805,9825
Roanoke College,-80.056433,37.29686,600,590,580,26,73,36597,51371,51371,Private not-for-profit,2029,58,542,4167
Shenandoah University,-78.158376,39.166058,550,570,550,26,85,29934,43598,43598,Private not-for-profit,2150,34,459,1833
Southern Virginia University,-79.350296,37.740669,570,560,553,26,100,18900,30300,30300,Private not-for-profit,662,28,226,763
Sweet Briar College,-79.079735,37.556317,620,590,,27,84,33605,49105,49105,Private not-for-profit,703,54,197,905
The University of Virginia's College at Wise,-82.558728,36.971468,530,520,500,22,74,8509,21567,36623,Public,2291,24,335,972
Virginia Intermont College,-82.17614,36.605006,545,475,,22,96,24642,39891,39891,Private not-for-profit,378,32,45,226
Virginia Polytechnic Institute and State University,-80.423267,37.228561,640,680,640,,70,11455,26165,41921,Public,24034,61,5364,19112
Virginia Commonwealth University,-77.453597,37.547631,610,600,590,26,69,12002,28297,45768,Public,23356,30,3525,14156
University of Virginia-Main Campus,-78.502599,38.036546,720,740,720,33,30,12668,26075,53461,Public,16087,86,3520,28984
Virginia Military Institute,-79.435737,37.790644,620,630,600,27,47,14404,25642,46630,Public,1675,59,502,2012
Virginia State University,-77.419886,37.236453,450,445,440,18,95,7784,20767,30175,Public,5073,25,1244,5729
Virginia Union University,-77.450954,37.561864,420,420,,17,58,15130,27932,27932,Private not-for-profit,1359,22,404,4306
Virginia Wesleyan College,-76.18606,36.868417,573,570,,24,93,32482,44190,44190,Private not-for-profit,1459,37,453,3788
Washington and Lee University,-79.445724,37.787832,740,720,730,33,18,44507,58575,58575,Private not-for-profit,1855,86,480,6222
Central Washington University,-120.537716,47.004957,550,550,520,23,82,8976,22785,34695,Public,10423,43,1502,4507
